altitude,temperature,wind_direction,wind_speed,visibility,rain,humidity,pressure,weather_class
9457.42515,7.180123945,263.8335525,28.493764781800003,38822.75598,0.0,100.0,21.82552064,Zone à haute pression
9232.48557,7.629249132,263.7663161,28.082648321040004,38749.21282,0.0,100.0,22.00351477,Zone à haute pression
9015.194745,8.06763141,263.6984454,27.67967814156,37755.03913,0.0,100.0,22.173956,Zone à haute pression
8806.704521,8.484196645,263.6330268,27.30433335712,36454.76119,0.0,99.59871405,22.33667519,Zone à haute pression
8612.734482,8.88251786,263.5696448,26.9470902244,35231.06326,0.0,96.77074044,22.48907803,Zone à haute pression
8428.510402,9.252960103,263.5093532,26.61749787764,34088.73745,0.0,94.19729991,22.63065623,Zone à haute pression
8258.959275,9.59897834,263.4519702,26.31266056668,33030.05654,0.0,91.88979809,22.76261866,Zone à haute pression
8103.004906,9.920648476,263.3979992,26.029364960400002,32041.73043,0.0,89.80881947,22.88471473,Zone à haute pression
7959.66498,10.22053917,263.3470499,25.77381335124,31119.757,0.0,87.90259501,22.99871329,Zone à haute pression
7825.209788,10.50249818,263.2986689,25.52346536204,30253.19196,0.0,86.14744783,23.10647345,Zone à haute pression
7699.06851,10.77191469,263.251508,25.292804169880004,29435.19187,0.0,84.49843633,23.20989425,Orages
7576.941919,11.03264757,263.205602,25.06868122296,29403.66994,0.0,82.91717025,23.31154529,Orages
7457.669196,11.29080329,263.1590385,24.84650050548,29372.46123,0.0,81.36851551,23.4145293,Orages
7337.881063,11.55105359,263.1124526,24.626634547240002,29341.52994,0.0,79.83038955,23.51967836,Zone à haute pression
7215.450113,11.81944428,263.062256,24.39318553948,29310.75116,0.0,78.25879676,23.62881488,Zone à haute pression
7087.291909,12.09935018,263.0095616,24.15356246376,29280.2469,0.0,76.64872959,23.74491445,Zone à haute pression
6952.730213,12.39467534,262.9527461,23.899346183640002,29249.86701,0.0,74.99478794,23.86727254,Zone à haute pression
7136.792985,-10.45743306,263.0541755,24.4341131838,23552.87235,0.0,100.0,22.2727297,Orages
7346.157481,-10.87634778,263.1372189,24.821564733,23597.20774,0.0,100.0,22.08552137,Orages
7555.320818,-11.29058685,263.2193942,25.2109961628,23641.78531,0.0,100.0,21.90235161,Orages
7765.179309,-11.70520183,263.297787,25.597292564040004,23686.2875,0.0,100.0,21.72199948,Orages
7975.421759,-12.12061362,263.3745553,25.99038686092,23731.10664,0.0,100.0,21.54025717,Orages
8182.108868,-12.53545657,263.4484957,26.377908137920002,23775.42623,0.0,100.0,21.36212106,Orages
8392.042172,-12.94922122,263.5205211,26.769467793520004,23819.96553,0.0,100.0,21.18347757,Orages
8600.681049,-13.36249753,263.5898996,27.153562370480003,23864.26178,0.0,100.0,21.01003104,Orages
8804.176915,-13.75898612,263.6549187,27.51609798212,23904.15398,0.0,100.0,20.86579747,Orages
8970.515302,-14.07679976,263.7050794,27.79915656944,23934.67063,0.0,100.0,20.76001427,Orages
9091.404348,-14.30449736,263.7408444,28.00392417176,23956.18377,0.0,100.0,20.68667254,Orages
9175.94253,-14.46444651,263.764475,28.1385015482,23970.84597,0.0,100.0,20.63752732,Orages
9231.495083,-14.56938316,263.7804535,28.22983957688,23980.30325,0.0,100.0,20.60657214,Orages
9266.407096,-14.63436242,263.7900248,28.285949009720003,23986.15801,0.0,100.0,20.58769728,Orages
9287.828859,-14.67370069,263.7954604,28.318817120440002,23989.58597,0.0,100.0,20.57685983,Orages
9300.009932,-14.69632772,179.301563,21.73195580628,30462.16753,0.0,100.0,21.59436399,Frontière d'un anticyclone
9309.248315,4.720272887,263.8012625,28.361633063960003,35604.6647,0.0,100.0,21.5749065,Zone à haute pression
9333.424596,4.544250807,263.8103369,28.412644329720003,35490.13572,0.0,100.0,21.54947175,Zone à haute pression
9363.320562,4.425485913,263.8193196,28.46864160544,35441.61197,0.0,100.0,21.52447916,Zone à haute pression
9393.310231,4.309731986,263.828229,28.523960382440002,35396.76199,0.0,100.0,21.49951332,Zone à haute pression
9422.92363,4.19615088,263.836988,28.578939836,35355.6517,0.0,100.0,21.47194966,Zone à haute pression
9459.397136,4.061575246,263.8501987,28.67515969964,35324.73384,0.0,100.0,21.39074964,Zone à haute pression
9572.722689,3.763318395,263.8882647,28.943209030760002,35316.84313,0.0,100.0,21.23391125,Zone à haute pression
9775.43038,3.294537253,263.9501518,29.357786786920002,35326.40418,0.0,100.0,21.03311385,Zone à haute pression
10031.81061,2.733649836,264.0150342,29.84834075032,35346.21812,0.0,100.0,20.82495037,Zone à haute pression
10290.7157,2.191540005,264.0613311,30.298668903320003,35362.10405,0.0,100.0,20.66596636,Zone à haute pression
10480.56134,1.794594374,264.0918925,30.59505209356,35362.34355,0.0,100.0,20.5858176,Zone à haute pression
10568.36056,1.608877184,264.1036464,30.694205210360003,35345.18635,0.0,100.0,20.57891215,Zone à haute pression
10570.08944,1.575212115,264.102981,30.683723575600002,35319.68252,0.0,100.0,20.58182414,Zone à haute pression
10566.29827,1.543763035,264.1025575,30.68067946172,35298.23533,0.0,100.0,20.58018135,Zone à haute pression
10567.80123,1.504906092,264.1028913,30.68455414204,35278.90994,0.0,100.0,20.5773759,Zone à haute pression
10570.59903,1.465503666,264.1034166,30.690360106480004,35261.22066,0.0,100.0,20.57414162,Zone à haute pression
10573.69397,1.42762144,264.1039062,30.695222273200002,35244.40852,0.0,100.0,20.57204019,Zone à haute pression
10575.34064,1.394385294,264.1041571,30.69758251756,35228.27544,0.0,100.0,20.57082539,Zone à haute pression
10575.9255,1.364900518,264.104232,30.69819684448,35212.77844,0.0,100.0,20.57021098,Zone à haute pression
10575.80561,1.338650472,264.1041998,30.697768884320002,35197.88016,0.0,100.0,20.5699681,Zone à haute pression
10575.28337,1.315338129,264.1040994,30.69664847988,35183.42843,0.0,100.0,20.56996188,Zone à haute pression
10574.49312,1.294362819,264.103951,30.6950126268,35169.29839,0.0,100.0,20.57316931,Zone à haute pression
10573.57023,1.240265619,264.1037905,30.69334873444,35388.24737,0.0,100.0,20.57864486,Zone à haute pression
10573.18263,1.221566141,264.1037672,30.69342594432,35382.63758,0.0,100.0,20.57776713,Zone à haute pression
10574.1399,1.204522503,264.1039576,30.695612971120003,35377.20687,0.0,100.0,20.57647919,Zone à haute pression
10575.53283,1.188903175,264.104198,30.698115449080003,35371.58991,0.0,100.0,20.57533823,Zone à haute pression
10576.72719,1.175728119,264.1044019,30.70020409764,35365.67603,0.0,100.0,20.57446618,Zone à haute pression
10577.59363,1.165302747,264.1045406,30.701602283560003,35359.39844,0.0,100.0,20.57389646,Zone à haute pression
10578.09023,1.157443441,264.104615,30.702263817960002,35352.58028,0.0,100.0,20.57338622,Zone à haute pression
10578.68502,1.15074994,264.1047472,30.703887392280002,35345.331,0.0,100.0,20.57252003,Zone à haute pression
10579.52739,1.145307014,264.104869,30.70501633444,35337.43142,0.0,100.0,20.57225297,Zone à haute pression
10579.60182,1.142542489,264.1048624,30.70480885488,35328.67165,0.0,100.0,20.5724218,Zone à haute pression
10579.16505,1.141849789,264.1047771,30.70383575852,35319.14505,0.0,100.0,20.57276516,Zone à haute pression
10578.50777,1.142661606,264.1046522,30.702443239720004,35308.7384,0.0,100.0,20.57320009,Zone à haute pression
10577.79175,1.144407235,264.1045321,30.701199418,35297.55345,0.0,100.0,20.57355969,Zone à haute pression
10577.1246,1.147023536,264.1044189,30.70003465816,35285.41708,0.0,100.0,20.57386536,Zone à haute pression
10576.50791,1.150360608,264.1043122,30.698902752800002,35272.36545,0.0,100.0,20.57415357,Zone à haute pression
10575.89457,1.154420814,264.1042046,30.69776493956,35258.36928,0.0,100.0,20.57442168,Zone à haute pression
10575.27978,1.159111022,264.1040999,30.69671978188,35243.30944,0.0,100.0,20.57450446,Zone à haute pression
10574.88094,1.163996677,264.1040289,30.695962721320004,35227.28119,0.0,100.0,20.57456388,Zone à haute pression
10574.48285,1.169411043,264.1039584,30.6952037532,35210.22591,0.0,100.0,20.65547791,Zone à haute pression
10574.08929,0.8114188642,264.0889913,30.693092658399998,42110.57149,0.0,100.0,20.65653777,Frontière d'un anticyclone
10577.27668,0.9841798747,264.1049222,30.70926037764,42078.36769,0.0,100.0,20.64991949,Frontière d'un anticyclone
10596.05223,1.121741007,264.1085531,30.749820399959997,42090.71817,0.0,100.0,20.63405913,Frontière d'un anticyclone
10620.20035,1.181213932,264.1127529,30.794281975120004,42104.45739,0.0,100.0,20.61853876,Frontière d'un anticyclone
10642.70485,1.228687403,264.1165379,30.833587193360003,42118.81379,0.0,100.0,20.60584233,Frontière d'un anticyclone
10660.95177,1.271185075,264.119507,30.864278092880003,42133.42146,0.0,100.0,20.59655677,Frontière d'un anticyclone
10674.50977,1.31145655,264.1217149,30.88710052964,42074.39313,0.0,100.0,20.59125571,Frontière d'un anticyclone
10684.08319,1.483895419,264.1232677,30.903014358200004,42056.88266,0.0,100.0,20.58690573,Frontière d'un anticyclone
10690.98893,1.527427001,264.1243788,30.9144712006,42061.84601,0.0,100.0,20.58396492,Frontière d'un anticyclone
10695.87943,1.566854419,264.1251697,30.9225765712,42067.37276,0.0,100.0,20.58198828,Frontière d'un anticyclone
10699.36787,1.602249576,264.125732,30.928385961840004,42073.35603,0.0,100.0,20.58066453,Frontière d'un anticyclone
10701.85363,1.633512575,264.1261357,30.93250082804,42079.71775,0.0,100.0,20.57974466,Frontière d'un anticyclone
10703.68564,1.661184427,264.1264294,30.93560387256,42086.37865,0.0,100.0,20.57911033,Frontière d'un anticyclone
10705.04795,1.685459861,264.1266502,30.937963690959997,42093.26051,0.0,100.0,20.57863536,Frontière d'un anticyclone
10706.09494,1.706531335,264.1268238,30.939718312800004,42100.29459,0.0,100.0,20.57823903,Frontière d'un anticyclone
10706.92417,1.724925003,264.1269561,30.941061920280006,42107.43681,0.0,100.0,20.57796984,Frontière d'un anticyclone
10707.53907,1.740971482,264.1270615,30.94219847416,42114.62438,0.0,100.0,20.57766668,Frontière d'un anticyclone
10708.07764,1.754668842,264.1271441,30.943019169440003,42121.81329,0.0,100.0,20.57752041,Frontière d'un anticyclone
10708.38518,1.766763334,264.1271971,30.943590363280002,42129.0043,0.0,100.0,20.57735705,Frontière d'un anticyclone
10708.60871,1.777225461,264.1272101,30.943473946560005,42136.07503,0.0,100.0,20.57816657,Frontière d'un anticyclone
10707.34481,1.789123547,264.126933,30.94018027568,42142.78449,0.0,100.0,20.57978996,Frontière d'un anticyclone
10705.1914,1.800697932,264.1265654,30.93622977448,42149.31066,0.0,100.0,20.58143632,Frontière d'un anticyclone
10702.96916,1.811137187,264.1261694,30.931977563959997,42155.69436,0.0,100.0,20.58279928,Frontière d'un anticyclone
10701.29743,1.818597345,264.1259464,30.929918047359998,42162.21321,0.0,100.0,20.58325391,Frontière d'un anticyclone
10700.56768,1.82374205,264.1257987,30.928179056400005,42168.58718,0.0,100.0,20.58404707,Frontière d'un anticyclone
10699.38398,1.828543546,264.1256063,30.92618524876,42174.907,0.0,100.0,20.58461733,Frontière d'un anticyclone
10698.46391,1.83201337,264.1254472,30.92448331632,42181.12805,0.0,100.0,20.58510873,Frontière d'un anticyclone
10697.6547,1.834395495,264.1253192,30.923172952240005,42187.30376,0.0,100.0,20.58540696,Frontière d'un anticyclone
10697.04172,1.835708538,264.1252212,30.92218485468,42193.41468,0.0,100.0,20.58549852,Frontière d'un anticyclone
10696.71453,1.83580498,264.125168,30.921614697960003,42199.50473,0.0,100.0,20.20486768,Frontière d'un anticyclone
10696.25376,-14.27201463,260.9320445,30.766731715720002,29362.23813,0.0,100.0,19.64169504,Zone de basses pressions
